,id,member_id,loan_amnt,grade,desc
335,1071583,1306735,12000.0,A,  Borrower added on 12/16/11 > This loan is to pay off credit card balances that carry a higher interest rate than the loan I am currently applying for.<br>
1084,1148065,1388971,13000.0,A,  Borrower added on 02/11/12 > I have an incredibly good credit score and have only been late on a payment ONCE in my whole credit history in September of 2010 because my mail got lost. I have always made payments timely and have frequently paid off debts before they become due.<br>
464,7484816,9146957,14000.0,A,  Borrower added on 09/30/13 > High Interest Credit Card Pay-Off - Misc. Debt Consolidation<br>
1085,986238,1210146,20000.0,C,"  Borrower added on 10/10/11 > I have verifiable income, also this loan is to start my buying and selling autos, look forward to doing business !<br/> Borrower added on 10/11/11 > My intensions is to pay back the loan in 2 yrs, my credit file will show that I had installment loans and autos that were paid off less than 3 yrs, any questions, feel free to ask, thanks !<br/> Borrower added on 10/11/11 > My plans are to pay off the loan in 2 yrs, my credit file will show that previous installment and auto loans were paid off early, any questions u may have, do NOT hesitate to ask, thanks!<br/>"
756,12438025,14450150,10000.0,C,  Borrower added on 03/02/14 > Debt Consolidation Credit cards<br>
231,1259165,1502170,5000.0,C,  Borrower added on 04/23/12 > Basically just wnt to consolidate various bills with a 100 to 200 dollar balances to one payment and kill a 19% chase bill. And a 26% penneys and Best Buy to zero. My job is very secure. I think SED shows but has been payed off yrs ago. My house mortgage is 840 a month. Truck payment is 360.<br>
366,5778797,7210984,8000.0,C,  Borrower added on 06/10/13 > I would like to pay my existing loan off to lower my monthly payments and pay off my existing medical bills.<br>
448,6168375,7650517,12000.0,D,  Borrower added on 07/05/13 > My loan is to to pay my credit card debit as fast as possible. want to try to purchase home soon will be able to pay debit off faster with lower interest<br>
686,152911,152905,25000.0,F,60 month repayment term personal loan up to $25000
264,1009798,1236555,16750.0,C,"  Borrower added on 11/03/11 > Plan to use these funds to payoff my very high interest rate credit cards. I have had these cards for 5 years plus and have never been late or defaulted on payment. My monthly budget is 1500.00. Work for the state of North Carolina, DMV section. Before that NC Dept of Corrections. Have a total of 15 years employment with the State of North Carolina. Job is very secure. We provide a public service that would not be exposed to layoffs. Secure in my employment.<br/>"
685,1562642,1829835,15000.0,D,  Borrower added on 10/18/12 > consolidate credit cards<br><br> Borrower added on 10/18/12 > consolidation<br>
258,2300115,2732624,24000.0,C,  Borrower added on 12/03/12 > I plan to pay off all credit cards and my car and will be debt free from all major bills. My job is a very good job and make good pay. I want to pay off bills faster and be abel to have money for unexpected expences. And save money to pay this loan off faster with haveing about 1200.00 dollars extra<br>
149,6834581,8456733,12000.0,C,  Borrower added on 08/13/13 > I would like to pay off high interest credit card off. This is a lower rate and a lower monthly rate<br>
974,504989,650491,7500.0,A,  Borrower added on 04/15/10 > i just got divorces. i am resposible to pay 7500.00 on an existing credit card in my ex husbands name. it was considered marital debt. i am a registered nurse and have been employed at stemc for 8 years. i have lived at mu current residence for 8 years and i own the home. i have a fairly good g=credit rating  and hope to start a new life and keep it that way. thank you very much.<br/>
599,4594778,5856929,22800.0,C,  Borrower added on 05/24/13 > I need to make some home improvements and pay off some credit cards.  I would also get ' a jump' on some bills before the summer so that I may have a real vacation in August!<br>
1029,7071872,8733476,19000.0,B,  Borrower added on 10/10/13 > I WANT ONE PAYMENT WITH A LOWER MONTH PAYMENT<br>
672,6166000,7648151,30000.0,C,"  Borrower added on 07/15/13 > Debt Consolidation:  All interest rates are greater than Lending Club rate.  Account balances to be paid:  BoA ($12k), Chase ($2.5k), Home Depot ($3k), Target ($1.5k), OneMain ($5k)<br>Boat Repairs:  Bottom job plus prop, prop shaft, and cutlass bearing replacement  (~$5k)<br>"
510,1480056,1738574,17600.0,C,  Borrower added on 08/16/12 > Just moved into a new home and need to do some renovation after a recent flood due to a problem with the drainage system on our block.<br>
337,534128,690344,9700.0,C,  Borrower added on 06/26/10 > This is a consolidation loan. I have three higher interest credit cards which I want to consolidate onto this lower interest loan. This will also include refinancing the remaining amount (2K) on a vehicle loan.<br/> Borrower added on 06/26/10 > This is a consolidation loan. I have a few (3) higher interest credit cards as well as a vehicle loan with a small amount (2K) remaining.<br/><br/>I work as a Linux / Unix system engineer and have been working in the IT field professionally for 10 years. I have a stable job and have no problems paying my monthly bills.<br/>
802,12565375,14577528,26400.0,E,  Borrower added on 03/06/14 > I HAVE TWIN BOYS AGE 3 WHOM I NEED TO SEND TO PRESCHOOL.  THE COST IS 900-1300 DOLLARS A MONTH.  THIS IS THE ONLY WAY I WILL BE ABLE TO AFFORD PRESCHOOL.<br>
795,393171,430654,2000.0,C,"I only recently got into serious debt.  It's not serious enough to qualify for debt consolidation services in ordinary institutions, because my total debt is less than $5000.  I only have $700 limit credit card and unfortunately, I don't currently meet the credit limitations criteria.  I got into real trouble with payday loans and their high interest rates. Now, it seems I can't get out of the vicious cyle. It was a current crisis that put me in this situation and for the  past 6 years I've been working hard to improve my credit score.  I don't want it to get worse and would love an opportunity to consolidate all of these into one low interest loan.  Until my recent problem, I was paying all bills on time and had no NSF's on my bank statements.  I appreciate anything anyone can do to help. "
1100,1480469,1739006,15000.0,D,  Borrower added on 08/14/12 > I am having hard time clearing all my credit card. I tried to borrow from the credit union in our island but no one is able to let me borrow. I just want to put everything in one monthly payment..<br>
723,1513487,1775648,18550.0,B,"  Borrower added on 09/05/12 > I am paying off two credit cards:<br>1) Visa:  balance: $15,689.48, interest rate: 9.90%, minimum monthly payment: $286.00.<br>2) MasterCard: balance: $4,903.97, interest rate: 25.24%, minimum monthly payment: $160.73<br>"
1021,5875874,7338014,9500.0,D,  Borrower added on 06/20/13 > Vacation<br><br>  Borrower added on 06/21/13 > Vacation<br>
977,3370489,4223416,13000.0,B,  Borrower added on 02/12/13 > To pay off credit cards and get rid of  them and get out of high interest debt.<br>
750,1679212,1961659,8875.0,C,"  Borrower added on 11/12/12 > I've worked for my current company for 6 years moving my way up, progressing financially and as an individual. One thing holding me back from growing even more is my debt. With this loan I will be on the right path to eliminate it. I am highly reliable always following through on my commitments.<br>"
305,10556219,12438266,16000.0,A,  Borrower added on 01/13/14 > Trying to wrap up my year spending by payoff all credit cards and cutting them up. The only way I can do this was to payoff them off and not reuse them!<br>
1014,11424727,13356880,17500.0,B,  Borrower added on 01/28/14 > Need to pay medical and lower interest for credit cards<br>
965,2644785,3186949,10000.0,B,"  Borrower added on 12/19/12 > Leaving college and starting a new life sure can be an expensive thing! Finding the love of my life and, plus some medical emergencies back-tracked us dearly. I am looking for a way to move forward by eliminating this dark cloud of debt I carry.<br>"
438,11708455,13680648,10000.0,B,  Borrower added on 02/12/14 > My house need repair on roof.<br>I need extra money with low late than credit card.<br>
907,1623912,1896142,17050.0,D,"  Borrower added on 10/17/12 > Just trying to get out from behind the 8 ball so to speak. It makes more sense to me to make one payment to one place, instead of minimun payments to muliple different places.<br>"
102,10755249,12647380,14000.0,C,  Borrower added on 01/29/14 > Consolidate my credit cards to one payment with a fixed rate...Thanks Lending Club<br>
896,5773248,7205026,20000.0,A,  Borrower added on 06/16/13 > Consolidating Debt to a lower interest rate.<br>
1013,1552263,1818425,5000.0,B,  Borrower added on 09/19/12 > I would like to consolidate my credit card debt and save  lot of money on interest.<br>
628,785079,988346,18000.0,E,"  Borrower added on 06/16/11 > I have been at my current job for more than 4 years and my company is growing. My previous employment was 20 years. I have no car payments, no outstanding loans, and have a small housing payment. This monthly payment will be 12% of my consistent monthly income.<br/>"
867,1357878,1601855,6250.0,C,"  Borrower added on 06/25/12 > this loan is going to help me pay of my car as well as my credit cards, so i am able to increase my credit score<br>"
162,1482753,1741298,20000.0,C,  Borrower added on 08/21/12 > I have a Son that wants to go to Letourneau University so I was trying to consolidate my credit card &amp; truck payments into one payment so I could pay them off quicker. I owe 2 more years on my truck and credit card interest is so high with no end in sight. So it makes since to combine them.Thank You<br>
13,1336164,1581086,16800.0,B,"  Borrower added on 06/12/12 > My loan is to consolidate dept, so I can pay it off quickly, and save money in the process.<br><br>  Borrower added on 06/13/12 > I have been employed in my job current job field for 12 years and it has been very stable.<br><br>  Borrower added on 06/21/12 > Stop, look here, great investment opportunity!<br>"
255,1602426,1873384,24000.0,D,  Borrower added on 10/10/12 > We sold our home at a significant loss and ended up with several credit cards as a result.  We would like to consolidate those credit cards into one single loan and payment to reduce our overall interest and payment maintenance.  We appreciate any help!<br>
9,1614983,1886758,10500.0,A,"  Borrower added on 10/15/12 > I have a rental house that I want to fix up, it needs a new roof and windows. I own it free and clear and having it brought up to standard will ensure a stable tenant.<br>"
711,1586582,1856249,12050.0,B,  Borrower added on 10/04/12 > PAY OFF BILLS<br>
198,6885391,8527474,1200.0,C,  Borrower added on 08/22/13 > pay off medical bills<br>
157,5815744,3979785,19475.0,B,  Borrower added on 06/19/13 > Consolidate bills<br>
760,1096464,1303574,35000.0,D,  Borrower added on 01/05/12 > debt conselidation<br>
369,3666245,4629378,16000.0,B,  Borrower added on 04/09/13 > I intend to pay of credit card debit and position myself to purchase income property in 2-3 years.  I want to be prepared to pay for my daughter's undergradute education so that she will not have as much student loan debt as I did.<br>
114,605772,777125,16750.0,A,  Borrower added on 11/04/10 > The loan request is to purchase 2 Formostar Encore portible machines.  These machines are the only items yet needed for my wife to open her business which is a highly desirable niche business in our county. We have laid our of pocket everything else needed from office furniture and equipment to linens to even the sign on the building.  All licenses are in place etc.  I've been permanently disabled since 1989 but have stable income and I'm an excellent borrower with long history. The loan would actually be paid back in a much shorter term so that funds could be available to help someone else.<br/>
659,7905241,9627352,8000.0,D,"  Borrower added on 10/10/13 > The reason for my loan is to pay off all my small debit credit cards and a personal loan. So that the only monthly debt bill I have is my car loan, along with this loan and student loan<br>"
942,3642921,4595723,15500.0,A,"  Borrower added on 03/05/13 > I am using the loan to pay medical loans.  Currently we are paying $1,000 month on several bills.<br>"
1074,1419959,1670341,7200.0,D,  Borrower added on 07/12/12 > to consolidate credit card and student loan debts.<br><br>  Borrower added on 07/13/12 > I also go to grad school and only can take 1 class per semester which is 1500 dollars not including books.<br><br> Borrower added on 07/14/12 > My loan is to pay off my credit card debt and undergrad student loan.<br><br>  Borrower added on 07/17/12 > Credit card 3000<br>Remaining student loan balance 5000<br>Rent 1000<br>Utilities 200<br>Cell phone 100<br>
543,1149684,1390670,10000.0,B,"  Borrower added on 02/14/12 > I'm not sure how much of my description gets posted but your investment in me will pay off. I have a very stable career with Nike, inc. for over three years plus I will also use my own funds to fully consolidate my debt. I didn't ask for more so that I wasn't going to be fully leveraged.<br><br>  Borrower added on 02/15/12 > I will be using this loan to pay down some higher intrest ones i.e. credit cards at 15% or higher. This will decrease my monthly expenditures allowing me to pay down faster. I'm not default on any loans &amp; I will be a return on your investment, Thank you.<br><br>  Borrower added on 02/15/12 > I thank the 89 investors that have invested in me and encourage more to do so as I stated I will be a return on your investment and as for me this will improve my credit score. Since I'm currently paying out more $/mo this loan will be easy to repay. Any questions please ask.<br><br>  Borrower added on 02/17/12 > Thank you again to those investers who have invested in me thus far I encourage and ask more to do the same you will have an ROI with me I promise so please invest. Thanks.<br>"
1087,1540037,1805428,12400.0,B,"  Borrower added on 09/13/12 > My loan is to consolidate two high interest rate credit cards under a single, lower interest rate loan that will be more manageable and cost less over the next 36 months.<br>"
49,9767834,11619719,4000.0,B,  Borrower added on 01/14/14 > I would like to pay off my crdeit cards and be done with them.Im not in any way having financial problems.I received your offer in mail and figured i would try it out.<br>
634,1534298,1798879,11000.0,C,  Borrower added on 09/12/12 > I would like to finish remodeling my home before the winter months.<br>
638,1336532,1581683,16900.0,D,  Borrower added on 06/04/12 > I have credit cards I would like to pay off and pay less interest<br>
1052,687062,854099,20000.0,G,I am looking ofr a loan so that I can replace my septic system.
442,5186294,6508583,20000.0,A,  Borrower added on 05/15/13 > Consolidation and refinancing of revolving credit accounts.<br>
605,1099155,1335628,24350.0,B,  Borrower added on 01/10/12 > I appreciate your investing in my loan and welcome any questions you have for me. I intend to pay it off sooner than the five-year term limit so that you will see a quicker return on your investment.<br>
502,8886113,10678153,22250.0,D,  Borrower added on 11/11/13 > I started my own business a year ago and used personal credit to fund the start-up and on-going emergencies. I am looking to make one payment that is lower than the collective and be debt free again within 5 years!<br>
796,747793,946777,8000.0,D,  Borrower added on 05/09/11 > debt<br/>
456,8589512,10331102,25200.0,B,  Borrower added on 10/29/13 > I want to use this loan to consolidate credit card debt.  I have an excellent credit score.<br>
1044,973359,1195575,15000.0,D,  Borrower added on 10/01/11 > I'm looking to consolidate various credit cards that paid for appliances and furniture for the home we purchased in 2009.<br/> Borrower added on 10/01/11 > Looking to payoff various credit cards that paid for appliances and furniture bought for the home we purchased in 2009. I've not had a problem paying these credit cards but the combined interest is costing us too much in the long run.<br/>null
558,11204677,13116832,17775.0,A,"  Borrower added on 01/24/14 > I am current on all of my obligations, as I've always been.  This loan will help me consolidate my debts and allow me to meet my financial goals quicker as my current situation doesn't allow me to make much headway.   I have been in steady employment in the same field for 10 years.<br>"
1066,11715797,13687960,19200.0,E,  Borrower added on 02/07/14 > Consolidation of credit card and revolving credit accounts<br>
582,2434685,2916844,3525.0,E,"  Borrower added on 12/26/12 > My friend told me about LendingClub.  And then my husband applied and got approved for a loan recently to consolidate his high interest rate credit card accounts.  So now I'm going to try, apply, and hopefully get approved for a loan to help me with my own high interest rate debts.<br><br> Borrower added on 12/26/12 > Although this loan quote has a high rate, it is still lower &amp; the repayment will be lower based on ONE loan compared to multiple debts with multiple high rates.  This will enable me to easily pay back this loan from the generous investors here at LendingClub.  Thank you in advance investors.<br>"
591,8266043,10008145,12000.0,A,  Borrower added on 10/20/13 > I want to pay off high interest debt faster.<br><br>  Borrower added on 10/21/13 > This loan would enable me to pay down debt faster because more income would be free to do so.<br>
1094,1857060,2159447,6600.0,B,  Borrower added on 11/09/12 > This loan is to take the place of 27% credit card interest rate.  but cutting down the interest rate I feel like I can make soem real headway on the bottom line and get to a 0 balance across the board.  I was there before and I understand what the benefit is of having little to no debt.<br>
927,445491,544150,12000.0,C,"I would like to consolidate 2 higher interest credit cards into 1 lower payment and at a much better interest rate.  I would also be interested in (if possible) an installment type loan of 12-36 months where the balance would be paid when fully ammortized.  If that isn't possible, then a loan without a pre-payment penalty would be something that is beneficial to me.  I've always been a very good credit applicant (median credit score of approx 700) and will without question pay this loan back in time and in full.  On a personal note and regarding my job history.  I left the company I was with for 12 years (OnSite E-Discovery) in Sept 2008 for another opportunity.  I've since returned to OnSite E-Discovery (now called Integreon), and most importantly, to a much more stable income and work environment.  You will see I have put my length of employment of 1 month with Integreon.  When in fact I'm returning after 10 months to the same company (under a new name) that I was with for 12 years.  Thank you."
19,4915660,6207817,10000.0,B,  Borrower added on 05/15/13 > credit cards<br>
569,2434597,2916751,9600.0,D,  Borrower added on 12/13/12 > I own two rental properties and completed renovation of one property in October without a loan. This loan is for second property renovation.<br>
118,1616675,1888491,12000.0,B,"  Borrower added on 10/15/12 > Unfortunate circumstances led me to rely on credit cards to get by. This loan will help me pay off those debts and regain control of my financial situation.<br><br>  Borrower added on 10/16/12 > Unfortunate circumstances led me to rely on credit cards to get by. This loan will help me pay off those debts and regain control of my financial situation. No matter how much debt I've had, I have always paid my bills on time.<br><br>  Borrower added on 10/16/12 > I have worked in broadcasting for the past 13 years, and have worked for the same company for the last 5 1/2 years. My job is very stable.<br>"
47,665272,850568,10000.0,A,"  Borrower added on 01/31/11 > We have had perfect pay history on all our credit loans for over 7 years.  HFC Beneficial has been ripping us off on personal loan interest for nearly the same, and I can't tell you how pleased I am to now be with a company that has provided an offer that more closely matches our perfect pay history.  We are thrilled to finally be out from under HFC, and all the more knowing we will have Lending Club paid off in only 3 years time.  I can't wait to get started.<br/>"
771,1220879,1462110,9450.0,D,  Borrower added on 04/02/12 > Loan is for refinancing of credit cards and car loan combined for one monthly payment<br>
21,8886163,10678203,5325.0,A,  Borrower added on 11/12/13 > payoff a lowes credit card that has a27% interest rate i cant seem to get it paid off<br>
656,256021,255853,24500.0,D,"Hello LendingClub,  I need this loan to buy and import some Mp3 and Mp4 (Ipods Nano) and Digital Cameras from Shenzen, China for my Beach Store, Just 12345 Store Corp legally incorporated in Florida and strategically located in the famous Collins Ave at the millionaire's Row in Sunny Isles Beach (Miami), FL.   I owned and manage my store sucessfully for 2 1/2 years. My business has licenses and permit by the city of Sunny Isles Beach, FL. I attach my financial statement about my store.   EXPENSES  Inventory                                             $     5,500.00 Rent			            $     6,000.00 Employees		            $     2,500.00 Electricity, Water, Sewer & Trash         $        850.00 Telephone		            $          80.00 Others			            $        300.00 TOTAL Expenses                                 $    15,230.00  INCOME  Daily Sales ranging from:                               $ 800.00 X 30         $  24,000.00                  Lottery Sales ranging from:                       5% of  $   3,000.00         $       150.00 Pre-paid Telephone cards:                     20%  of  $  4,000.00         $       800.00  Commissions from Wire Transfer                       2%  de  $ 7,500.00         $       150.00 TOTAL Income                                       $  25,100.00 GROSS PROFIT                                      $    9,870.00  I want to add those popular electronics items at my store because I see a natural demand for them, specially among tourist and daily clients whom need it to take pictures and listing music, respectively when there are in the wonderful beach across from my beach store.  When you are Miami Beach for vacation would be glad to know you personally or you can see us by internet at www.just12345store. Finally, If you have any questions or comments about my business, please let me know anytime. Thank you very much for your interest and support to my store.  Sincerely, Alexander Toro alex@just12345store.com"
346,3145276,3857482,8100.0,B,  Borrower added on 01/11/13 > I am trying really hard to get out of credit card debt. I am paying 100 percent of the proceeds of this loan to a credit card and will in turn close that account<br>
437,3218925,3961643,16000.0,B,"  Borrower added on 01/24/13 > I would like to consolidate my high interest debt, some of my interest rates are 18 to 23 percent.  I always pay more than the minimum and feel that my job is secure.<br><br>  Borrower added on 01/30/13 > These are my approximate monthly expenses: <br>Utilities, Phone &amp; Internet (wintertime) - $765.00<br>Insurance (home, vehicle, &amp; dental) - $320.00<br>Medical Bills - $100.00<br>Automobile Payment -$297.00<br>Food - $500.00<br>Transportation - $100.00<br>Credit Card Payments listed previously<br>"
413,10544638,12426784,18000.0,A,  Borrower added on 01/09/14 > Looking to consolidate credit card debt into one monthly payment and start having more applied to principal balance instead of going to interest.<br>
4,1239464,1479440,6000.0,B,  Borrower added on 04/11/12 > Debt consolidation<br>
744,8846277,10638292,13000.0,B,  Borrower added on 11/11/13 > This loan is to completely pay off credit card debt. Have never been late on a payment and have cut up all credit cards. Job employment is stable with going on 10 years of tenure.<br>
319,1374382,1618655,30000.0,G,"  Borrower added on 06/19/12 > We just purchased a home last year in El Paso , TX and we are in hopes of securing this loan in order to complete some home improvements including an addition to our living room and a new pool.  I am a financially sound individual and I would prefer to borrow from Lending Club rather than the bank.<br>"
699,1690188,1972708,19325.0,C,  Borrower added on 10/27/12 > I want to use this loan for new carpet installation and paint my home. Also use part of loan to pay off my other high interest personal loan<br>
929,529353,684557,25000.0,E,"  Borrower added on 06/11/10 > Hello: <br/>I Plan on using the funds for a home improvement project. I will be installing a patio and walkway along with landscaping, lighting and irrigation system.<br/><br/>I am a very responsible person in paying my bills on time and majority of times in full on a monthly basis. I budget what I am free to spend monthly and leave room for ""just in case"" situations. Currently, my monthly budget is $3,600 which includes my mortgage, taxes, HOA, insurance, utilities. I have kept a separate savings for use of my credit cars and food, of which, I payoff monthly. Lately, I have invested alot in upgrades and furniture for my new home and this funding request is for my last project.<br/><br/>My job is very stable with more work then we can handle is a day. I work to create and advocate for quality of life and living within long-term care facilities for our elderly and disabled populations. The challenge is only becoming greater as we baby boomers are aging out.<br/><br/>I hope the above will reassure you that you have chosen a responsible person.<br/><br/>Have A Wonderful Day!<br/>"
960,4195257,5337472,12000.0,A,  Borrower added on 04/01/13 > upgrade batroom and kitchen cabinet<br>
823,2945335,3557572,17500.0,B,  Borrower added on 01/01/13 > We are re-structuring our payments to eliminate debt in a shorter period.<br>
1055,8960786,10752314,8000.0,B,  Borrower added on 11/19/13 > This loan is to pay off current debt so I can purchase a home in a few years. It is time to get on the road to saving!<br>
561,7731107,9432490,16000.0,E,"  Borrower added on 10/09/13 > Consolidation of bills, SAMS, Region Finance Co., and HomeDepot.<br>"
980,594452,763340,14000.0,B,"  Borrower added on 10/09/10 > I am a stably employed attorney with a law firm. I am seeking this loan to cover expenses related to an unanticipated and emergency need to gain immediate custody, guardianship and ultimately adoption of my 10 month year old granddaughter. My young adult stepson and the child's mother are in no way able to raise the baby and have agreed to my husband and I raising the child permanently. I need to acquire legal and full custody ASAP given existing circumstances in order for the baby to have a stable life with us.  As this situation arose under emergency circumstances, I do not have the liquidated funds to cover the legal and other related fees and am seeking this loan to do so. I definitely have the capacity to pay this loan back without any problem and my credit attests to my financial responsibility in paying debts in a timely fashion with no abuse. In fact, my plan is to pay off this  loan very early. Among other resources, I typically receive a significant bonus at year's end.<br/> Borrower added on 10/19/10 > I have just verified with a Lending club credit review  team representative that my husband's credit report, showing a 96 month old public record,was in error somehow crossing with my information seen by investors. I am assured this error has been fixed now.<br/>"
817,526784,681457,11200.0,C,  Borrower added on 06/13/10 > I'm a single mother of a wonderful 13 year old boy. I have a great job with Mary Washington Healthcare as a Medical Coder/Biller. I've been employed with the organization for a little over 7 years. I am a responsable person who can't seem to get out of credit card debt. The intrest rates are increasing. <br/> <br/>With this loan I will pay off the credit cards and purchase bedroom furniture for my son. I will then be able to save to buy my own house.<br/>
161,5609672,6992107,17600.0,B,  Borrower added on 06/02/13 > I would like to pay-off a major credit card bill utilizing a lower interest loan so that I may get the debt paid off faster.<br>
383,7944948,3729720,35000.0,E,"  Borrower added on 10/10/13 > I would like to consolidate a loan of $19,000 with my credit card balances to have one payment to pay off this debt over the next 5 years.  The money left over, roughly $5700, will be used for my daughter's wedding.<br>"
758,973488,1195496,35000.0,F,  Borrower added on 10/18/11 > Unfortunately I was laid off from my job sometime ago and was out of work for about 9 months - during that time and for the first year of my new job I had to take on a great deal more debt than I hoped. I've been in medical device sales for the last 11 yrs and with my current company for almost three years. My hope is to consolidate our debt into one payment per month. My bills have always been paid - even while unemployed and I guarded my credit score by meeting all my obligations every month. My current credit score is 730 - which I hope should give anyone considering invensting with me the confidence that i'm a solid investment where I always meet my obligations.<br/>
551,6595657,8177816,9000.0,B,  Borrower added on 08/04/13 > consolidate credit cards some new furniture<br><br>  Borrower added on 08/05/13 > consolidation of bills<br>
285,5636461,7018727,25000.0,D,  Borrower added on 05/29/13 > To repay the credit cards that we used  for home improvements<br>
399,1562860,1830111,10000.0,D,"  Borrower added on 09/26/12 > I ran up my credit cards. I spent the money, now I just want to pay it off without using Bankruptcy or hiring someone else to consolidate my debt. This is an awesome opportunity to pay everything off in 3 years. Finally I can see the light at the end of the tunnel.<br>"
1097,12257256,14249381,26400.0,C,  Borrower added on 02/24/14 > TO  CONSOLIDATE MY DEBT INTO ONE PAYMENT<br><br> Borrower added on 02/24/14 > TO PAY OFF CREDIT CARDS<br>
768,5875628,7337767,5500.0,D,  Borrower added on 06/20/13 > I am going to use this loan to pay off a really high interest loan from One Main Financial.<br>
457,1025533,1254693,3600.0,B,  Borrower added on 11/14/11 > These funds will be used to pay for medical surgery.  I have a great credit score and I am always on time with payments.  I work for the largest hotel company in amount of rooms; a very stable job for the past 8 years has brought me to 3 promotions with more in the near future.  My monthly budget is well planed and establish.<br>
525,7935619,9657706,8000.0,A,  Borrower added on 10/12/13 > This loan is to consolidate my all of my remaining credit card debt into one monthly payment.<br>
135,1381816,1626780,4500.0,A,"  Borrower added on 06/22/12 > Help me stop paying ridiculously high rates - no more credit cards! <br><br>I recently paid off one of my student loans and will pay off my other credit card within the next month and will finish paying off an unsecured loan by the time this loan goes live. Your help is appreciated!<br><br>  Borrower added on 06/26/12 > I am using this loan to eliminate my credit card debt. I am working to get out of debt fast and will only have this loan and a small student loan to pay off. I recently paid off my other credit cards, one unsecured loan I used to buy a car and one student loan. Feel free to ask questions.<br>"
763,10142256,11993508,16850.0,D,  Borrower added on 01/05/14 > Pay off my current bills and close out those accounts.<br>
849,9765802,11617825,7000.0,C,  Borrower added on 12/26/13 > To pay off and close higher interest cards<br>
143,1604487,1875691,12000.0,C,"  Borrower added on 10/10/12 > I am tired of the high interest rates on my cards and I am going to become debt free in 3 years! Looking forward to doing business with the lenders. You won't go wrong lending to me!<br><br> Borrower added on 10/10/12 > Decided to get control of my finances and become debt free! Lenders, you will not make a mistake with me!<br>"
612,9114865,10947017,9750.0,B,  Borrower added on 12/05/13 > bills<br><br> Borrower added on 12/05/13 > bills<br><br> Borrower added on 12/05/13 > bills<br>
142,273535,273521,6000.0,D,  try to get lower rate on credit card debt
1047,986927,1211121,9500.0,A,"  Borrower added on 10/12/11 > Hello, I'm just trying to pay off a very high interest credit card. I never miss payments, and have been working in my industry for many years and currently have a very stable job.<br/>"
84,7689556,9390972,20000.0,C,  Borrower added on 10/07/13 > I want to consolidate my bills and have one payment a month instead of trying to pay the bills every month on a different day and different amounts. I always pay more then the amount due but the interest rates are to high and the balance is still high.<br>
226,441345,535358,10000.0,A,"I would like to erase my debt with credit card companies completely. I believe that this loan would help me to pay off the creditors and begin to live a debt free life! Once paying off the creditors, I plan to start a media consulting business for churches. I am already employed at a church with about 10 other churches looking to get me to come in on weekends and help them.   A loan at 9.79% is extremely more feasible than paying off 2 credit cards with ridiculously high interest rates!  Thanks!  "
105,1617463,1889304,6000.0,C,  Borrower added on 10/17/12 > This loan will help consolidate my debt all into one bill with a lower interest rate.<br>
439,4775492,6047685,10000.0,D,  Borrower added on 04/29/13 > I will use the funds to pay off higher rate credit cards<br>
961,4278993,5461514,18000.0,B,"  Borrower added on 04/13/13 > Pay off My Credit Cards Approx $ 14,000.00  and  to buy new   Refridgerator and  TV. Also I and My Two Brothers are Co Owners Of our  Four Family House , My portion of the Mortage is $500.00 Per Month.<br><br> Borrower added on 04/13/13 > To Pay off Credit Cards And Purchase New Refridgerator and TV.<br>"
886,1257811,1500554,10000.0,B,"  Borrower added on 04/23/12 > With this loan, I plan to install a clean water filtration system in home due to high ammonia and chlorine content in drinking water. Build a patio deck in back yard, Fix water leak in front yard, repair front yard by re-sodding, and pay off high interest credit cards.<br><br>  Borrower added on 04/24/12 > Estimated Costs: Quality Clean Water System: $3200. Patio Deck: $2700. Re-sodding Entire Yard: $1800. High Interest Credit Card: $1900. I could wait to pay cash over a 3 month period, but I'm also trying to build a stronger credit profile for the business I'm starting next year.<br>"
362,6295729,7827730,10100.0,B,  Borrower added on 07/11/13 > Debt Consolidation to reduce compound interest paid on credit cards<br>
46,2307346,2739695,12250.0,C,  Borrower added on 12/12/12 > pay off credir cards.<br>
653,168222,168212,25000.0,D,"Need loan to drill well on 20 acres of recreational property in N.AZ. Originally had 30 acres and drilled well on the 10ac property and sold four 2.5ac parcels. I have invested over $200K cash in property and need well to finish and sell off.  The remaining 20ac are worth $300K with the water. Hard to sell without H2O!  Spouse employed as RN and earns $4,000 month. I own a franchise that generates $20K a month in revenues.   We both have very good credit and payment history. I am a CPA and have been an accountant for 20 years.  Just don't want to go through banks or hit the credit cards for this.     "
553,491248,627612,2800.0,B,"  Borrower added on 03/12/10 > I recently discovered one of my credit card companies skyrocketed my interest rate by almost 4 times my old rate. I was told its because of the sluggish economy. Its my oldest account so I didn't want to close it and hinder my credit rating, but I'd like to pay off the balance at a tolerable interest rate.<br/>"
919,10147860,11999546,15000.0,B,  Borrower added on 01/29/14 > Payoff all credit cards.<br>
716,1414225,1664173,6400.0,A,  Borrower added on 07/24/12 > Pay bill and home improvements<br>
775,466415,585831,3200.0,B,  585831 added on 12/05/09 > Car Repairs and buying medical insurance for visiting mom.<br/>
434,3346453,4148811,6000.0,C,"  Borrower added on 02/10/13 > Back on 1/2012, I won a car in a sports trivia competition. The bad news that I was hit with $3K worth of taxes. So I'm planning to use the loan to pay off the taxes and the rest of the loan to pay off my credit cards. I have 18 months of documented on-time payments with my other LC account.<br>"
320,1279424,1522088,5000.0,B,  Borrower added on 05/08/12 > My plan is to pay this loan back as quickly as possible.<br>
