,Rank,Song,Artist,Year,Lyrics
644,6,kiss me,sixpence none the richer,1999,kiss me out of the bearded barley nightly beside the green green grass swing swing swing the spinning step you wear those shoes and i will wear that dress oh kiss me beneath the milky twilight lead me out on the moonlit floor lift your open hand strike up the band and make the fireflies dance silver moons sparkling so kiss me kiss me down by the broken tree house swing me upon its hanging tire bring bring bring your flowered hat well take the trail marked on your fathers map oh kiss me beneath the milky twilight lead me out on the moonlit floor lift your open hand strike up the band and make the fireflies dance silver moons sparkling so kiss me kiss me beneath the milky twilight lead me out on the moonlit floor lift your open hand strike up the band and make the fireflies dance silver moons sparkling so kiss me so kiss me so kiss me so kiss me
645,7,genie in a bottle,christina aguilera,1999, i feel like ive been locked up tight for a century of lonely nights waiting for someone to release me youre lickin your lips and blowing kisses my way but that dont mean im gonna give it away baby baby baby baby baby babyooh my bodys sayin lets go ooh but my heart is sayin noif you wanna be with me baby theres a price to pay im a genie in a bottle you gotta rub me the right wayif you wanna be with me i can make your wish come true you gotta make a big impression oh yeah gotta like what you doim a genie in a bottle baby gotta rub me the right way honey im a genie in a bottle baby come come come on and let me outthe musics fading and the lights down low just one more dance and then were good to go waiting for someone who needs me hormones racing at the speed of light but that dont mean its gotta be tonight baby baby baby baby baby babyooh my bodys sayin lets go ooh but my heart is sayin no but my heart is sayin noif you wanna be with me baby theres a price to pay im a genie in a bottle im a genie in a bottle you gotta rub me the right wayif you wanna be with me oh i can make your wish come true your wish come true oh just come and set me free baby and ill be with youim a genie in a bottle baby gotta rub me the right way honey im a genie in a bottle baby come come come on and let me outim a genie in a bottle baby gotta rub me the right way honey if you wanna be with me im a genie in a bottle baby come come come on and let me outooh my bodys sayin lets go ooh but my heart is sayin noif you wanna be with me baby theres a price to pay im a genie in a bottle im a genie in a bottle you gotta rub me the right wayif you wanna be with me i can make your wish come true just come and set me free baby and ill be with youif you wanna be with me baby theres a price to pay im a genie in a bottle in a bottle baby you gotta rub me the right wayif you wanna be with me if you wanna be with me i can make your wish come true just come and set me free baby and ill be with youim a genie in a bottle baby come come come on and let me out 
646,8,every morning,sugar ray,1999, every morning theres a halo hangin from the corner of my girlfriends four post bed i know its not mine but ill see if i can use it for the weekend or a onenight standcouldnt understand how to work it out once again as predicted left my broken heart open and you ripped it outsomethings got me reeling stopped me from believing turn me around again said that we can do it you know i wanna do it againsugar ray say every morning every morning when i wake up shut the door baby dont say a word she always rights wrongs she always rights she always rights shut the door baby shut the door babyevery morning theres a heartache hanging from the corner of my girlfriends fourpost bed i know its not mine and i know she thinks she loves me but i never can believe what she saidsomething so deceiving when you stop believing turn me around again said we couldnt do it you know i wanna do it againevery morning every morning when i wake up shut the door baby dont say a word every morning every morning when i wake up shut the door baby shut the door baby she always rights the wrongs for me baby she always rights the wrongs for meevery morning theres a halo hanging from the corner of my girlfriends fourpost bed i know its not mine but ill see if i can use it for the weekend or a onenight stand shut the door baby dont say a wordevery morning every morning when i wake up shut the door baby shut the door baby every morning every morning shut the door baby dont say a word every morning every morning when i wake up every morning shut the door baby 
647,9,nobodys supposed to be here,deborah cox,1999, how did you get in nobodys supposed to be here ive tried that love thing for the last time my heart says no no nobodys supposed to be here but you came along and changed my mindive spent all my life on a search to find the love wholl stay for eternity the heaven sent to fulfill my needs but when i turned around again love has knocked me down my heart got broken oh it hurt so bad im sad to say love wins again so i place my heart under lock and key to take some time and take care of me but i turn around and youre staying herehow did you get in nobodys supposed to be here ive tried that love thing for the last time my heart says no no nobodys supposed to be here nobodys supposed to be here but you came along and changed my mindthis time i swear im through but if only you knew how many times ive said those words then fall again when will i ever learn knowing these tears ive cried this lovely black butterfly must take a chance and spread my wings love can make you do some crazy things so i place my heart under lock and key to take some time and take care of me but i turn around and youre standing here standing hereshoo do doop nobodys supposed to be here nobody no no no no no no no nohow did you get in nobodys supposed to be here ive tried that love thing for the last time my heart says no no nobodys supposed to be here but you came along and you changed my mind 
648,10,livin la vida loca,ricky martin,1999, shes into superstitions black cats and voodoo dolls i feel a premonition that girls gonna make me fall shes into new sensation new kicks in the candlelight shes got a new addiction for every day and night shell make you take your clothes off and go dancing in the rain shell make you live her crazy life but shell take away your pain like a bullet to your brainchorus upside inside out shes livin la vida loca shell push and pull you down livin la vida loca her lips are devil red and her skins the color of mocha she will wear you out livin la vida loca shes livin la vida locawoke up in new york city in a funky cheap hotel she took my heart and she took my money she mustve slipped me a sleepin pill she never drinks the water and makes you order french champagne once youve has a taste of her youll never be the same yeah shell make you go insanechorusshell make you take your clothes off and go dancing in the rain shell make you live her crazy life until you go insane no youll never be the sameupside inside out shes livin la vida loca shell push and pull you down livin la vida loca her lips are devil red and her skins the color of mocha she will wear you out livin la vida loca livin la vida loca livin la vida loca livin la vida locaupside inside out shes livin la vida loca shell push and pull you down livin la vida loca her lips are devil red and her skins the color of mocha she will wear you out livin la vida loca livin la vida loca livin la vida loca livin la vida loca 
649,11,where my girls at,702,1999, see hes my property and any girl that touch i might just call your bluff cause i dont give a whoo are you to call my cell oh ima wish you well cause any girl that tried has fellwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thathey hey hey heydont you violate me cause ima make you hate me if you decide to mess with mine chop you down to size make you realize you done messed up this timewhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thatyou must learn the rules dont come close to anything that belongs to me he is my my property so dont you seewhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need thatwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that so dont play yourselfwhere my girls at from the front to back well is you feelin that well put one hand up can you repeat that tryin to take my man see i dont need that 
650,12,if you had my love,jennifer lopez,1999, if you had my love and i gave you all my trust would you comfort me and if somehow you knew that your love would be untrue would you lie to me and call me babynow if i give you me this is how its got to be first of all i wont take your cheating on me tell me who can i trust if i cant trust in you and i refuse to let you play me for a foolyou said that we could possibly spend eternity see thats what you told me thats what you said but if you want me youll have to be fulfilling all my dreams if you really want me babyif you had my love and i gave you all my trust would you comfort me tell me baby and if somehow you knew that your love would be untrue would you lie to me and call me babyyou say you want my love and you got to have it all but first there are some things you need to know if you wanna live with all i have to give i need to feel true love or its got to end yeahi dont want you tryin to get with me and i end up unhappy i dont need the hurt and i dont need the pain so before i do give myself to you i have to know the truth if i spend my life with youif you had my love and i gave you all my trust would you comfort me what would you do babe tell me right now and if somehow you knew that your love would be untrue would you lie to me and call me baby dont you lie to meif you had my love and i gave you all my trust would you comfort me tell me baby and if somehow you knew that your love would be untrue would you lie to me and call me baby dont you lie to me babyif you had my love and i gave you all my trust would you comfort me tell me baby and if somehow you knew that your love would be untrue would you lie to me and call me babyif you had my love and i gave you all my trust would you comfort me and if somehow you knew that your love would be untrue would you lie to me and call me babyif you had my love and i gave you all my trust would you comfort me and if somehow you knew that your love would be untrue would you lie to me 
651,13,slide,goo goo dolls,1999, could you whisper in my ear the things you wanna feel id give you anythin to feel it comindo you wake up on your own and wonder where you are you live with all your faultsi wanna wake up where you are i wont say anything at all so why dont you slideyeah im gonna let it slidedont you love the life you killed the priest is on the phone your father hit the wall your ma disowned youdont supposed ill ever know what it means to be a man its somethin i cant change ill live around iti wanna wake up where you are i wont say anything at all so why dont you slide ooh slideand ill do anythin you ever dreamed to be complete little pieces of the nothin that fall oh may put your arms around me what you feel is what you are and what you are is beautiful oh may do you wanna get married or run awayand ill do anythin you ever dreamed to be complete little pieces of the nothin that fall oh may put your arms around me what you feel is what you are and what you are is beautiful oh may do you wanna get married or run awayi wanna wake up where you are i wont say anythingand ill do anythin you ever dreamed to be complete yeah slide little pieces of the nothin that fall yeah slide and ill do anythin you ever dreamed to be complete yeah slide little pieces of the nothin that fall oh oh slide yeah slide between the sheets of all them beds you never knew yeah slide why dont you slide into my room just slide into my room oh well run away run away run away 
652,14,have you ever,brandy,1999, chorus have you ever loved somebody so much it makes you cry have you ever needed something so bad you cant sleep at night have you ever tried to find the words but they dont come out right have you ever have you everhave you ever been in love been in love so bad youd do anything to make them understand have you ever had someone steal your heart away youd give anything to make them feel the same have you ever searched for words to get you in their heart but you dont know what to say and you dont know where to startchorushave you ever found the one youve dreamed of all of your life just about anything to look into their eyes have you finally found the one youve given your heart to only to find that one wont give their heart to you have you ever closed your eyes and dreamed that they were there and all you can do is wait for the day when they will carechoruswhat do i gotta do to get you in my arms baby what do i gotta say to get your heart to make you understand how i need you next to me gotta get you in my world cause baby i cant sleepchorus 
653,15,i want it that way,backstreet boys,1999, yeahehheah you are my fire the one desire believe when i say i want it that waybut we are two worlds apart cant reach to your heart when you say that i want it that waytell me why aint nothin but a heartache tell me why aint nothin but a mistake tell me why i never want to hear you say i want it that wayam i your fire your one desire yes i know its too late but i want it that waytell me why aint nothin but a heartache tell me why aint nothin but a mistake tell me why i never want to hear you say i want it that waynow i can see that weve fallen apart from the way that it used to be yeah no matter the distance i want you to know that deep down inside of meyou are my fire the one desire you are you are you are you aredont want to hear you say aint nothin but a heartache aint nothin but a mistake dont want to hear you say i never want to hear you say i want it that waytell me why aint nothin but a heartache tell me why aint nothin but a mistake tell me why i never want to hear you say i want it that waytell me why aint nothin but a heartache aint nothin but a mistake tell me why i never want to hear you say never want to hear you say it i want it that waycause i want it that way 
654,16,im your angel,r kelly and celine dion,1999, no mountains too high for you to climb all you have to do is have some climbing faith no rivers too wide for you to make it across all you have to do is believe it when you prayand then you will see the morning will come and everyday will be bright as the sun all of your fears cast them on me i just want you to seeill be your cloud up in the sky ill be your shoulder when you cry ill hear your voices when you call me i am your angel and when all hope is gone im here no matter how far you are im near it makes no difference who you are i am your angel im your angeli saw your tear drops and i heard you cry all you need is time seek me and you shall find you have everything and your still lonely it dont have to be this way let me show you a better dayand then you will see the morning will come and all of your days will be bright as the sun so all of your fears just cast them on me how can i make you seeill be your cloud up in the sky ill be your shoulder when you cry ill hear your voices when you call me i am your angel and when all hope is gone im here no matter how far you are im near it makes no difference who you are i am your angeland when its time to face the storm ill be right by your side grace will keep us safe and warm and i know we will survive and when it seems as if your end is drawing near dont you dare give up the fight just put your trust beyond the skyill be your cloud up in the sky ill be your shoulder when you cry ill hear your voices when you call me i am your angel and when all hope is gone im here no matter how far you are im near it makes no difference who you are i am your angelill be your cloud up in the sky ill be your shoulder when you cry ill hear your voices when you call me i am your angel and when all hope is gone im here no matter how far you are im near it makes no difference who you are i am your angelill be your cloud up in the sky ill be your shoulder when you cry ill hear your voices when you call me im your angel 
655,17,all star,smash mouth,1999, somebody once told me the world is gonna roll me i aint the sharpest tool in the shed she was lookin kinda dumb with her finger and her thumb in the shape of an l on her foreheadwell the years start coming and they dont stop coming fed to the rules and i hit the ground running didnt make sense not to live for fun your brain gets smart but your head gets dumbso much to do so much to see so whats wrong with taking the backstreets youll never know if you dont go youll never shine if you dont glowhey now youre an all star get your game on go play hey now youre a rock star get the show on get paid and all that glitters is gold only shooting stars break the moldits a cool place and they say it gets colder youre bundled up now wait till you get older but the meteor men beg to differ judging by the hole in the satellite picturethe ice we skate is getting pretty thin the waters getting warm so you might as well swim my worlds on fire how about yours thats the way i like it and ill never get boredhey now youre an all star get your game on go play hey now youre a rock star get the show on get paid all that glitters is gold only shooting stars break the moldhey now youre an all star get your game on go play hey now youre a rock star get the show on get paid and all that glitters is gold only shooting starssomebody once asked could i spare some change for gas i need to get myself away from this place i said yep what a concept i could use a little fuel myself and we could all use a little changewell the years start coming and they dont stop coming fed to the rules and i hit the ground running didnt make sense not to live for fun your brain gets smart but your head gets dumbso much to do so much to see so whats wrong with taking the backstreet youll never know if you dont go youll never shine if you dont glowhey now youre an all star get your game on go play hey now youre a rock star get the show on get paid and all that glitters is gold only shooting stars break the mold and all that glitters is gold only shooting stars break the mold 
656,18,angel,sarah mclachlan,1999, spend all your time waiting for that second chance for a break that would make it okaytheres always some reason to feel not good enough and its hard at the end of the dayi need some distraction oh beautiful release memories seep from my veinsand maybe empty oh and weightless and maybe ill find some peace tonightin the arms of the angel fly away from here from this dark cold hotel room and the endlessness that you fear you are pulled from the wreckage of your silent reverie youre in the arms of the angel may you find some comfort hereso tired of the straight line and everywhere you turn theres vultures and thieves at your backthe storm keeps on twisting keep on building the lies that you make up for all that you lackit dont make no difference escape one last time its easier to believe in this sweet madness oh this glorious sadness that brings me to my kneesin the arms of the angel fly away from here from this dark cold hotel room and the endlessness that you fear you are pulled from the wreckage of your silent reverie youre in the arms of the angel may you find some comfort hereyoure in the arms of the angel may you find some comfort here 
657,19,smooth,santana featuring rob thomas,1999, man its a hot one like seven inches from the midday sun well i hear you whispering in the words to melt everyone but you stay so cool my mu̱equita my spanish harlem mona lisa youre my reason for reason the step in my grooveand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itbut ill tell you one thing if you would leave it would be a crying shame in every breath and every word i hear your name calling me out out from the barrio you hear my rhythm on your radio you feel the turning of the world so soft and slow its turning you round and roundand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itor else forget about it or else forget about it lets not forget about it give me your heart make it real lets not forget about it lets not forget about it lets not forget about it lets not forget about it lets not forget about it 
658,20,unpretty,tlc,1999, i wish could tie you up in my shoes make you feel unpretty too i was told i was beautiful but what does that mean to you look into the mirror whos inside there the one with the long hair same old me again today yeahmy outsides look cool my insides are blue every time i think im through its because of you ive tried different ways but its all the same at the end of the day i have myself to blame im just trippinyou can buy your hair if it wont grow you can fix your nose if he says so you can buy all the make up that mac can make but if you cant look inside you find out who am i too be in the position to make me feel so damn unpretty yeah ill make you feel unpretty toonever insecure until i met you now im bein stupid i used to be so cute to me just a little bit skinny why do i look to all these things to keep you happy maybe get rid of you and then ill get back to me heymy outsides look cool my insides are blue every time i think im through its because of you ive tried different ways but its all the same at the end of the day i have myself to blame believe im just trippin yeahyou can buy your hair if it wont grow you can fix your nose if he says so you can buy all the make up that mac can make but if you cant look inside you find out who am i too be in the position to make me feel so damn unpretty ill make you feel unpretty tooill make you feel unprettyyou can buy your hair if it wont grow you can fix your nose if he says so you can buy all the make up that mac can make but if you cant look inside you find out who am i too be in the position to make me feel so damn unprettyyou can buy your hair if it wont grow you can buy all the make up that mac can make 
659,1,breathe,faith hill,2000, i can feel the magic floating in the air being with you gets me that way i watch the sunlight dance across your face and ive never been this swept awayall my thoughts just seem to settle on the breeze when im lying wrapped up in your arms the whole world just fades away the only thing i hear is the beating of your heartcause i can feel you breathe its washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathein a way i know my heart is waking up as all the walls come tumbling down closer than ive ever felt before and i know and you know theres no need for words right nowi can feel you breathe washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathecaught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathei can feel the magic floating in the air being with you gets me that way 
660,2,smooth,santana featuring rob thomas,2000, man its a hot one like seven inches from the midday sun well i hear you whispering in the words to melt everyone but you stay so cool my mu̱equita my spanish harlem mona lisa youre my reason for reason the step in my grooveand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itbut ill tell you one thing if you would leave it would be a crying shame in every breath and every word i hear your name calling me out out from the barrio you hear my rhythm on your radio you feel the turning of the world so soft and slow its turning you round and roundand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itor else forget about it or else forget about it lets not forget about it give me your heart make it real lets not forget about it lets not forget about it lets not forget about it lets not forget about it lets not forget about it 
661,3,maria maria,santana featuring the product gb,2000, ladies and gents turn up your sound systems to the sound of carlos santana in the gmb ghetto blues from the refugee campsoh maria maria she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la to the sounds of the guitar yeah yeah played by carlos santanastop the lootin stop the shootin pick pocking on the corner see as the rich is getting richer the poor is getting poorerse mira maria on the corner thinkin of ways to make it better in my mailbox theres an eviction letter somebody just said see you later yeahahora vengo mama chula mama chula ahora vengo mama chula east coast ahora vengo mama chula mama chula ahora vengo mama chulamaria maria west coast she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la i said it to the sounds of the guitar yeah yeah played by carlos santanai said a la favella los colores the streets are getting hotter there is no water to putout the fire mi canto la esperanzase mira maria on the corner thinkin of ways to make it better then i looked up in the sky hopin the days of paradiseahora vengo mama chula mama chula ahora vengo mama chula north side ahora vengo mama chula mama chula ahora vengo mama chula south sideahora vengo mama chula mama chula ahora vengo mama chula worldwide ahora vengo mama chula mama chula ahora vengo mama chula open up your eyesmaria you know youre my lover when the wind blows i can feel you through the weather and even when were apart it still feels like were togethermaria oh yeah she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria oh she fell in love in east la to the sounds of the guitar played by carlos santanaput em up yall carlos santana with the refugee camp wyclef jerry wonder mr santana gmb yo carlos man you makin that guitar cry 
662,4,i wanna know,joe,2000, yeah oh yeah alright oh oh ohits amazing how you knock me off my feet hm every time you come around me i get weak oh yeah nobody ever made me feel this way oh you kiss my lips and then you take my breath away so i want to knowi want to know what turns you on id like to know so i can be all that and more id like to know id like to know what makes you cry so i can be the one who always makes you smilegirl he never understood what you were worth hm no and he never took the time to make it work you deserve more loving girl baby im the kind of man who shows concern yes i do oh anyway that i can please you let me learn so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more id like to id like to know what makes you cry so so i can be the one who always makes you smile make you smile babetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wish that i could take a journey through your mind alright and find emotions that you always try to hide babe oh i do believe that theres a love you want to share oh oh ill take good care of you lady have no fear oh so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more and id like to id like to know what makes you cry so i can be the one who always makes you smileuh tell me tell me tell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wanna know what turns you on id like to know id like to know so i can be all that and more i wanna know id like to know what makes you cry so so i can be the one who always makes you smileid like to know i wanna know i wanna know what turns you on tell me girl 
663,5,everything you want,vertical horizon,2000, somewhere theres speaking its already coming in oh and its rising at the back of your mind you never could get it unless you were fed it now youre here and you dont know whybut under skinned knees and the skid marks past the places where you used to learn you howl and listen listen and wait for the echoes of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyyoure waiting for someone to put you together youre waiting for someone to push you away theres always another wound to discover theres always something more you wish hed sayhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whybut youll just sit tight and watch it unwind its only what youre asking for and youll be just fine with all of your time its only what youre waiting forout of the island into the highway past the places where you might have turned you never did notice but you still hide away the anger of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyi am everything you want i am everything you need i am everything inside of you that you wish you could be i say all the right things at exactly the right time but i mean nothing to you and i dont know why and i dont know why why why and i dont know 
664,6,say my name,destinys child,2000, say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changeany other day i would call and you would say baby hows your day but today it aint the same every other word is uhhuh yeah okay could it be that you are at the crib with another lady if you took it there first of all let me say i am not the one to sit around and be played so prove yourself to me i am the girl that you claim why dont you say the thangs that you said to me yesterdayi know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changewhat is up with this tell the truthwho you with how would you like it if i came over with my clique dont try to change it now see you gotta bounce when two seconds ago you said you just got in the house its hard to believe that you are at home by yourself when i just heard the voice heard the voice of someone else just this question why do you feel you gotta lie gettin caught up in your game when you can not say my namei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me babybaby say my name say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby baby say my name 
665,7,i knew i loved you,savage garden,2000, hmm ohh i will come maybe its intuition somethings you just dont question like in your eyes i see my future in an instant and there it goes i think ive found my best friendi know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifetheres just no rhyme or reason only a sense of completion and in your eyes i see the missing pieces im searching for i think ive found my way homei know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifeooh hoo ooo hoo hoo ooo ohh a thousand angels dance around you ooh hoo hoo ooo hoo ooo hoo hoo hoo i am complete now that i have found youi knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo ooo i knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo hoo i knew i loved you before i met you oh oh ohh ohh oh oh oh ay ay yea oh i knew i loved you before i met you i knew i loved you i knew i loved you before i met you 
666,8,amazed,lonestar,2000, lonestar lyricsamazedevery time our eyes meet this feeling inside me is almost more than i can take baby when you touch me i can feel how much you love me and it just blows me away ive never been this close to anyone or anything i can hear your thoughts i can see your dreamsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youthe smell of your skin the taste of your kiss the way you whisper in the dark your hair all around me baby you surround me you touch every place in my heart oh it feels like the first time every time i wanna spend the whole night in your armsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youevery little thing that you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do oh yeah every little thing that you do baby im amazed by you 
667,9,bent,matchbox twenty,2000, if i fall along the way pick me up and dust me off and if i get too tired to make it be my breath so i can walkif i need some other love give me more than i can stand and when my smile gets old and faded wait around ill smile againshouldnt be so complicated just hold me and then just hold me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentif i couldnt sleep could you sleep could you paint me better off could you sympathize with my needs i know you think i need a loti started out clean but im jaded just phoning it in just breaking the skincan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentstart bending me its never enough i feel all your piecesstart bending me keep bending me until im completely broken inshouldnt be so complicated just touch me and then just touch me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me landingwithout understanding can i go there again can you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bent 
668,10,he wasnt man enough,toni braxton,2000, darkchild oh yeah toni braxton oh yeah uh uh darkchild yeah listen girlwho do you think i am dont you know that he was my man but i chose to let him go so why do you act like i still care about himlooking at me like im hurt when im the one who said i didnt want it to work dont you forget i had him firstwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes half the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me listen girldidnt he tell you the truth if not then why dont you ask him and maybe you could be more into him instead of worrying bout meand hopefully you wont find all of the reasons why his love led to doubt and why we couldnt work it outwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance see ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes just the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for meso many reasons why our love is through yeah what makes you think hell be good to you no it makes no sense cause he will never change girl you better recognize the gamewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me 
669,11,higher,creed,2000, when dreaming im guided to another world time and time again at sunrise i fight to stay asleep cause i dont want to leave the comfort of this place cause theres a hunger a longing to escape from the life i live when im awake so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsalthough i would like our world to change it helps me to appreciate those nights and those dreams but my friend id sacrifice all those nights if i could make the earth and my dreams the same the only difference is to let love replace all our hate so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsso lets go there so lets go there come on lets go there lets ask can we stayup high i feel like im alive for the very first time set up high im strong enough to take these dreams and make them mineset up high im strong enough to take these dreams and make them minecan you take me higher to the place where blind men see can you take me higher to the place with golden streetscan you take me higher to the place where blind men see can you take me higher to the place with golden streets 
